Ranking,Player,2021-22
511,Brandon Knight,
513,Greg Monroe,"$55,208"
521,Troy Williams,"$122,741"
533,Nik Stauskas,
541,Devin Cannady,"$100,000"
549,Wenyen Gabriel,"$29,814"
551,Theo Pinson,
555,Brandon Goodwin,
558,Davon Reed,
562,Kelan Martin,
564,Juwan Morgan,"$19,186"
566,Charlie Brown Jr.,
568,Jared Harper,
569,Rayjon Tucker,"$28,779"
570,Quinndary Weatherspoon,
574,Demetrius Jackson,"$92,857"
584,Anthony Lamb,
586,Nate Hinton,
589,RJ Nembhard Jr.,"$58,493"
591,Xavier Moon,
594,Mac McClung,
596,Jordan Schakel,
597,Brandon Williams,
598,Braxton Key,
600,Feron Hunt,
601,Xavier Sneed,
602,Moses Wright,
604,Malcolm Hill,
605,Chaundee Brown Jr.,
607,Luca Vildoza,"$51,347"
608,Skylar Mays,"$34,231"
611,Terry Taylor,"$21,270"
612,Duane Washington Jr.,"$21,270"
615,Trent Forrest,"$8,558"
617,Kessler Edwards,"$5,318"
